issue_id,dossier,procedure,n_actors,outcome,reference_point,challenge_forecast,compromise_forecast,challenge_ae,compromise_ae,paired_diff_challenge_minus_compromise,winner
d140100i1,Organic,COD,30,0.0,0.0,43.731,32.676,43.731,32.676,11.055,compromise
d140100i2,Organic,COD,30,90.0,0.0,100.0,92.962,10.0,2.962,7.038,compromise
d160070i1,Posting,COD,30,80.0,0.0,60.0,66.862,20.0,13.138,6.862,compromise
d160070i2,Posting,COD,30,0.0,0.0,100.0,52.365,100.0,52.365,47.635,compromise
d160070i3,Posting,COD,30,90.0,0.0,100.0,78.196,10.0,11.804,-1.804,challenge
d160070i4,Posting,COD,30,30.0,0.0,60.0,53.626,30.0,23.626,6.374,compromise
d160152i1,Geoblocking,COD,30,10.0,0.0,0.0,6.665,10.0,3.335,6.665,compromise
d160152i2,Geoblocking,COD,30,20.0,0.0,17.809,25.103,2.191,5.103,-2.912,challenge
d160152i3,Geoblocking,COD,30,90.0,0.0,100.0,51.27,10.0,38.73,-28.73,challenge
d150307i1,Border checks,COD,19,65.0,,100.0,72.406,35.0,7.406,27.594,compromise
d160023i1,Mercury,COD,29,50.0,0.0,40.0,39.398,10.0,10.602,-0.602,challenge
d160023i2,Mercury,COD,29,70.0,0.0,100.0,33.277,30.0,36.723,-6.723,challenge
d180104i1,ID Secure,COD,30,100.0,0.0,100.0,62.044,0.0,37.956,-37.956,challenge
d180104i2,ID Secure,COD,30,50.0,,0.0,31.883,50.0,18.117,31.883,compromise
